Date,Open,High,Low,Close,Volume
2025-08-24 23:00:00-05:00,89.55000305175781,90.5999984741211,86.1500015258789,89.75,75026900
2025-08-31 23:00:00-05:00,94.05000305175781,94.94999694824219,84.94999694824219,87.25,86391560
2025-09-07 23:00:00-05:00,86.25,86.9000015258789,82.30000305175781,82.80000305175781,83503940
2025-09-14 23:00:00-05:00,82.1500015258789,83.80000305175781,77.5,77.75,107968740
2025-09-21 23:00:00-05:00,78.19999694824219,80.6500015258789,76.19999694824219,77.75,111508240
2025-09-28 23:00:00-05:00,76.5999984741211,77.80000305175781,73.69999694824219,75.25,109142860
2025-10-05 23:00:00-05:00,73.3499984741211,80.3499984741211,71.75,80.1500015258789,146835080
2025-10-12 23:00:00-05:00,76.0,79.55000305175781,72.75,74.44999694824219,178227500
2025-10-19 23:00:00-05:00,73.3499984741211,75.9000015258789,69.3499984741211,69.80000305175781,124463580
2025-10-26 23:00:00-05:00,67.3499984741211,67.5,63.400001525878906,65.80000305175781,144313640
2025-11-03 00:00:00-05:00,64.0,76.05000305175781,63.75,72.1500015258789,174075360
2025-11-10 00:00:00-05:00,69.0,76.44999694824219,66.9000015258789,72.25,158488300
2025-11-17 00:00:00-05:00,73.25,83.0999984741211,70.23999786376953,79.20999908447266,291244420
2025-11-24 00:00:00-05:00,77.16000366210938,77.19999694824219,68.37000274658203,68.41000366210938,169499700
2025-12-01 00:00:00-05:00,70.26000213623047,70.63999938964844,65.38999938964844,66.48999786376953,183572300
2025-12-08 00:00:00-05:00,66.0,71.20999908447266,65.4000015258789,70.5,221540700
2025-12-15 00:00:00-05:00,68.87999725341797,75.19000244140625,68.87999725341797,69.12000274658203,235014300
2025-12-22 00:00:00-05:00,67.48999786376953,68.69999694824219,64.80999755859375,65.33000183105469,66015800
2025-12-29 00:00:00-05:00,66.54000091552734,69.9800033569336,65.69999694824219,68.97000122070312,93115000
2026-01-05 00:00:00-05:00,66.93000030517578,67.77999877929688,66.4000015258789,67.36000061035156,31937700
2026-01-06 13:47:00-05:00,67.0,67.20500183105469,65.7300033569336,65.7500991821289,27753508
